Date,Name,Year,Letterboxd URI,Rating
2022-04-20,The Northman,2022,https://boxd.it/nK2s,4.5
2022-04-20,Lolita,1962,https://boxd.it/29Ag,4
2022-04-21,Full Metal Jacket,1987,https://boxd.it/2a1Q,5
2022-04-28,Annihilation,2018,https://boxd.it/9yzm,4
2022-05-02,Ex Machina,2014,https://boxd.it/7T2k,4
2022-05-02,Barry Lyndon,1975,https://boxd.it/25A2,5
2022-05-06,Okja,2017,https://boxd.it/dvXe,4
2022-05-07,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3.5
2022-05-07,Gladiator,2000,https://boxd.it/2b9m,4.5
2022-05-09,Sound of Metal,2019,https://boxd.it/i7Q4,4
2022-05-10,The Green Knight,2021,https://boxd.it/kuy2,4
2022-05-13,The Evil Dead,1981,https://boxd.it/29Go,4
2022-05-16,Halloween,1978,https://boxd.it/2wRu,4
2022-05-16,Big Trouble in Little China,1986,https://boxd.it/21em,4
2022-05-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2022-05-21,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-05-21,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2022-05-22,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2022-05-23,RoboCop,1987,https://boxd.it/22Wu,4.5
2022-05-23,Army of Darkness,1992,https://boxd.it/29G4,4.5
2022-05-25,Escape from New York,1981,https://boxd.it/294k,3.5
2022-05-26,Ran,1985,https://boxd.it/1Tlu,5
2022-05-27,Yojimbo,1961,https://boxd.it/1SRY,5
2022-05-29,Top Gun: Maverick,2022,https://boxd.it/cjr4,4.5
2022-06-03,Star Wars,1977,https://boxd.it/72s,5
2022-06-04,Assault on Precinct 13,1976,https://boxd.it/1I2c,3.5
2022-06-14,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,3.5
2022-06-16,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2022-06-16,Paddington,2014,https://boxd.it/3RKw,3.5
2022-06-17,Paddington 2,2017,https://boxd.it/bCF8,4
2022-06-18,District 9,2009,https://boxd.it/1Iik,4.5
2022-06-19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4.5
2022-06-19,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2022-06-19,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2022-06-19,The Shining,1980,https://boxd.it/29Nu,5
2022-06-19,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2022-06-20,The Guard,2011,https://boxd.it/2eBS,3.5
2022-06-23,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,4
2022-06-24,Soul,2020,https://boxd.it/ioLA,4.5
2022-06-30,Jackie Brown,1997,https://boxd.it/2aVO,4
2022-07-02,Boiling Point,2021,https://boxd.it/uo2u,4
2022-07-03,True Grit,2010,https://boxd.it/Sog,4
2022-07-04,Airplane!,1980,https://boxd.it/29yu,5
2022-07-07,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2022-07-07,Labyrinth,1986,https://boxd.it/1POC,3.5
2022-07-08,The Last of the Mohicans,1992,https://boxd.it/1YSo,4
2022-07-09,Scarface,1983,https://boxd.it/2b7g,5
2022-07-10,Carlito's Way,1993,https://boxd.it/226e,4.5
2022-07-12,Tremors,1990,https://boxd.it/1YSe,3.5
2022-07-13,Gone Girl,2014,https://boxd.it/6hQu,4.5
2022-07-14,Citizen Kane,1941,https://boxd.it/71O,4.5
2022-07-15,In the Loop,2009,https://boxd.it/1EsA,4.5
2022-07-16,The Game,1997,https://boxd.it/26vC,3.5
2022-07-17,Mank,2020,https://boxd.it/mIuC,4
2022-07-20,Black Swan,2010,https://boxd.it/Sw0,3.5
2022-07-20,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3
2022-07-21,Beetlejuice,1988,https://boxd.it/24QI,3.5
2022-07-23,Unbreakable,2000,https://boxd.it/1XV2,3.5
2022-07-24,Toy Story,1995,https://boxd.it/29qA,5
2022-07-24,Requiem for a Dream,2000,https://boxd.it/29VI,5
2022-07-24,Hugo,2011,https://boxd.it/R08,4
2022-07-26,"Monsters, Inc.",2001,https://boxd.it/2a46,5
